box_id,avg_norm_area,size,video,segment
1,0.06438409543504901,Unknown,00000000777000000.mp4,1
3,0.005045189950980393,Unknown,00000000777000000.mp4,1
4,0.01416207107843137,Medium,00000000777000000.mp4,1
5,0.01744332107843137,Medium,00000000777000000.mp4,1
6,0.0050898054534313725,Small,00000000777000000.mp4,1
11,0.014621629901960784,Medium,00000000777000000.mp4,1
14,0.01475949754901961,Medium,00000000777000000.mp4,1
19,0.01533423330269608,Medium,00000000777000000.mp4,1
23,0.023929802389705886,Medium,00000000777000000.mp4,1
29,0.014629289215686275,Medium,00000000777000000.mp4,1
30,0.017913219975490197,Medium,00000000777000000.mp4,1
31,0.014269301470588237,Medium,00000000777000000.mp4,1
32,0.014812921262254902,Medium,00000000777000000.mp4,1
35,0.01446786917892157,Medium,00000000777000000.mp4,1
36,0.014729434742647058,Medium,00000000777000000.mp4,1
39,0.01478304993872549,Medium,00000000777000000.mp4,1
44,0.015185259650735295,Medium,00000000777000000.mp4,1
47,0.022366823682598038,Medium,00000000777000000.mp4,1
49,0.01500057444852941,Medium,00000000777000000.mp4,1
53,0.009696691176470588,Small,00000000777000000.mp4,1
54,0.014136699601715685,Medium,00000000777000000.mp4,1
58,0.01457950367647059,Medium,00000000777000000.mp4,1
59,0.014086626838235292,Medium,00000000777000000.mp4,1
60,0.014602481617647056,Medium,00000000777000000.mp4,1
61,0.02279986213235294,Medium,00000000777000000.mp4,1
62,0.015387561274509803,Medium,00000000777000000.mp4,1
63,0.01419175091911765,Medium,00000000777000000.mp4,1
64,0.02147058823529412,Medium,00000000777000000.mp4,1
65,0.024754518995098042,Medium,00000000777000000.mp4,1
66,0.01530905330882353,Medium,00000000777000000.mp4,1
67,0.021079197303921566,Medium,00000000777000000.mp4,1
68,0.014376627604166664,Medium,00000000777000000.mp4,1
69,0.017916666666666668,Medium,00000000777000000.mp4,1
70,0.010287224264705883,Small,00000000777000000.mp4,1
71,0.014269301470588237,Medium,00000000777000000.mp4,1
72,0.01793524050245098,Medium,00000000777000000.mp4,1
73,0.014630342371323529,Medium,00000000777000000.mp4,1
74,0.021110983455882353,Medium,00000000777000000.mp4,1
75,0.014424402573529413,Medium,00000000777000000.mp4,1
78,0.02198357077205882,Medium,00000000777000000.mp4,1
80,0.014775199142156862,Medium,00000000777000000.mp4,1
82,0.018790307138480393,Medium,00000000777000000.mp4,1
85,0.014797794117647058,Medium,00000000777000000.mp4,1
88,0.01448663449754902,Medium,00000000777000000.mp4,1
90,0.02198357077205882,Medium,00000000777000000.mp4,1
91,0.015277458639705884,Medium,00000000777000000.mp4,1
92,0.02292652803308824,Medium,00000000777000000.mp4,1
93,0.014366957720588236,Medium,00000000777000000.mp4,1
94,0.023167509191176473,Medium,00000000777000000.mp4,1
95,0.010776654411764706,Small,00000000777000000.mp4,1
97,0.014838005514705882,Medium,00000000777000000.mp4,1
100,0.015780101102941178,Medium,00000000777000000.mp4,1
101,0.014768592984068626,Medium,00000000777000000.mp4,1
103,0.01894033394607843,Medium,00000000777000000.mp4,1
107,0.014558057598039215,Medium,00000000777000000.mp4,1
109,0.025407379748774505,Medium,00000000777000000.mp4,1
112,0.004920630361519607,Small,00000000777000000.mp4,1
113,0.011067708333333332,Medium,00000000777000000.mp4,1
114,0.004923981311274509,Small,00000000777000000.mp4,1
115,0.014224494485294118,Medium,00000000777000000.mp4,1
117,0.019157858455882353,Medium,00000000777000000.mp4,1
119,0.02065420113357843,Medium,00000000777000000.mp4,1
120,0.018033854166666665,Medium,00000000777000000.mp4,1
122,0.014602481617647056,Medium,00000000777000000.mp4,1
125,0.008980353860294119,Small,00000000777000000.mp4,1
127,0.011291264552696079,Medium,00000000777000000.mp4,1
130,0.011488683363970588,Medium,00000000777000000.mp4,1
133,0.015042126225490195,Medium,00000000777000000.mp4,1
134,0.014463177849264708,Medium,00000000777000000.mp4,1
135,0.014757869944852939,Medium,00000000777000000.mp4,1
136,0.01178720511642157,Medium,00000000777000000.mp4,1
138,0.02112132352941177,Medium,00000000777000000.mp4,1
139,0.01493949142156863,Medium,00000000777000000.mp4,1
140,0.023299728094362742,Medium,00000000777000000.mp4,1
141,0.014437614889705883,Medium,00000000777000000.mp4,1
142,0.011309455422794119,Medium,00000000777000000.mp4,1
144,0.02099695542279412,Medium,00000000777000000.mp4,1
145,0.014892578125,Medium,00000000777000000.mp4,1
146,0.023320599724264708,Medium,00000000777000000.mp4,1
148,0.012362419577205883,Medium,00000000777000000.mp4,1
152,0.01483149509803922,Medium,00000000777000000.mp4,1
153,0.015199908088235296,Medium,00000000777000000.mp4,1
154,0.014317555147058824,Medium,00000000777000000.mp4,1
155,0.01487725949754902,Medium,00000000777000000.mp4,1
156,0.009711531096813724,Small,00000000777000000.mp4,1
157,0.015339882046568627,Medium,00000000777000000.mp4,1
158,0.01573414522058824,Medium,00000000777000000.mp4,1
161,0.025031594669117647,Medium,00000000777000000.mp4,1
163,0.005574352787990197,Small,00000000777000000.mp4,1
164,0.021322093290441175,Medium,00000000777000000.mp4,1
165,0.014860026041666665,Medium,00000000777000000.mp4,1
167,0.0173763978247549,Medium,00000000777000000.mp4,1
169,0.023287760416666664,Medium,00000000777000000.mp4,1
170,0.01447610294117647,Medium,00000000777000000.mp4,1
171,0.015069795496323526,Medium,00000000777000000.mp4,1
172,0.020514705882352942,Medium,00000000777000000.mp4,1
173,0.018923004748774508,Medium,00000000777000000.mp4,1
175,0.018645833333333334,Medium,00000000777000000.mp4,1
179,0.014621629901960784,Medium,00000000777000000.mp4,1
180,0.014602481617647056,Medium,00000000777000000.mp4,1
181,0.021392463235294118,Medium,00000000777000000.mp4,1
185,0.0102523743872549,Small,00000000777000000.mp4,1
188,0.02114889705882353,Medium,00000000777000000.mp4,1
189,0.014399509803921568,Medium,00000000777000000.mp4,1
191,0.01807215073529412,Medium,00000000777000000.mp4,1
