00000000777000000.mp4,Segment1,Frame:1860,Time:159.0s,TotalBoxes:21,S:2,M:17,L:0
00000000777000000.mp4,Segment1,Frame:1890,Time:161.5s,TotalBoxes:21,S:2,M:17,L:0
00000000777000000.mp4,Segment1,Frame:1920,Time:164.1s,TotalBoxes:21,S:2,M:17,L:0
00000000777000000.mp4,Segment1,Frame:1950,Time:166.7s,TotalBoxes:21,S:2,M:17,L:0
00000000777000000.mp4,Segment1,Frame:1980,Time:169.2s,TotalBoxes:21,S:2,M:17,L:0
00000000777000000.mp4,Segment1,Frame:2010,Time:171.8s,TotalBoxes:21,S:2,M:17,L:0
00000000777000000.mp4,Segment1,Frame:2040,Time:174.3s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2070,Time:176.8s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2100,Time:179.3s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2130,Time:181.8s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2160,Time:184.4s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2190,Time:186.9s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2220,Time:189.4s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2250,Time:191.9s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2280,Time:194.4s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2310,Time:196.9s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2340,Time:199.5s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2370,Time:202.0s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2400,Time:204.5s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2430,Time:207.0s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2460,Time:209.5s,TotalBoxes:23,S:2,M:19,L:0
00000000777000000.mp4,Segment1,Frame:2490,Time:212.0s,TotalBoxes:25,S:2,M:21,L:0
00000000777000000.mp4,Segment1,Frame:2520,Time:214.5s,TotalBoxes:25,S:2,M:21,L:0
00000000777000000.mp4,Segment1,Frame:2550,Time:217.1s,TotalBoxes:26,S:2,M:22,L:0
00000000777000000.mp4,Segment1,Frame:2580,Time:219.6s,TotalBoxes:26,S:2,M:22,L:0
00000000777000000.mp4,Segment1,Frame:2610,Time:222.1s,TotalBoxes:26,S:2,M:22,L:0
00000000777000000.mp4,Segment1,Frame:2640,Time:224.6s,TotalBoxes:27,S:2,M:23,L:0
00000000777000000.mp4,Segment1,Frame:2670,Time:227.1s,TotalBoxes:27,S:2,M:23,L:0
